                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.70809,                 1.1217,                0.36177,                0.90496,                0.94583,                0.92758,                0.95846,                 0.7013,                0.92742,                0.91348,                 0.9431,                0.65414,                0.85486,                 1.3414,                0.39461,                0.99217,               0.005545,               0.005545,               0.005545
                     47,                0.70408,                 1.1142,                0.35421,                0.90478,                0.95491,                 0.9119,                0.95633,                0.69993,                0.93416,                0.89078,                  0.941,                0.64294,                0.83263,                 1.3543,                0.43569,                0.97529,               0.005446,               0.005446,               0.005446
                     48,                0.69162,                 1.1062,                0.34993,                0.89766,                0.96347,                0.93551,                0.96418,                0.70415,                0.94337,                0.91539,                0.95325,                0.65722,                0.84489,                 1.3356,                0.38906,                0.99242,               0.005347,               0.005347,               0.005347
                     49,                0.68843,                 1.1017,                0.34526,                0.89915,                0.93851,                0.93674,                0.96505,                0.70909,                0.92786,                0.89988,                0.94227,                0.64294,                0.84975,                 1.3525,                0.38614,                0.99208,               0.005248,               0.005248,               0.005248
                     50,                0.69263,                 1.0807,                 0.3441,                0.90508,                0.93689,                0.92895,                0.95071,                0.70886,                0.91154,                0.92238,                0.94414,                0.65586,                0.85119,                 1.3173,                0.39136,                0.98827,               0.005149,               0.005149,               0.005149
                     51,                0.68787,                 1.1035,                 0.3449,                0.90117,                0.92661,                0.94206,                0.95628,                0.71898,                0.91007,                0.92198,                0.94068,                0.65886,                0.84271,                 1.3257,                0.38259,                0.98614,                0.00505,                0.00505,                0.00505
                     52,                0.68887,                 1.0796,                0.33964,                0.89861,                0.94749,                0.93846,                0.96555,                0.72188,                0.92518,                0.91759,                0.95262,                0.65623,                0.82306,                 1.3548,                0.38536,                0.97921,               0.004951,               0.004951,               0.004951
                     53,                0.67872,                 1.0965,                0.33616,                0.89764,                 0.9398,                0.93331,                0.96064,                0.71915,                0.93318,                0.92128,                 0.9494,                0.66704,                0.83379,                 1.3619,                0.38581,                0.99061,               0.004852,               0.004852,               0.004852
                     54,                0.67875,                 1.0973,                0.33489,                0.90052,                 0.9518,                 0.9283,                0.96758,                0.71919,                0.93097,                 0.9083,                0.94768,                0.65706,                0.83408,                 1.3554,                 0.3997,                0.97489,               0.004753,               0.004753,               0.004753
                     55,                0.67198,                 1.0644,                0.32976,                0.89249,                0.95148,                0.93841,                0.96737,                0.71952,                0.94228,                0.91475,                 0.9523,                0.66951,                0.83413,                 1.3392,                0.39355,                0.98254,               0.004654,               0.004654,               0.004654
                     56,                0.67558,                 1.0644,                0.33551,                0.90049,                0.93315,                0.94352,                0.96255,                0.71685,                0.93359,                 0.9086,                0.94441,                 0.6586,                0.83699,                  1.383,                0.40191,                0.98699,               0.004555,               0.004555,               0.004555
                     57,                0.66208,                 1.0698,                0.32881,                0.89176,                0.94659,                0.91336,                0.95545,                0.72146,                0.92564,                 0.8934,                 0.9392,                0.65999,                0.83063,                 1.3979,                0.41168,                0.97505,               0.004456,               0.004456,               0.004456
                     58,                0.66699,                 1.0626,                0.32811,                0.89201,                0.92956,                0.94674,                0.96073,                0.71701,                0.91195,                 0.9183,                0.94739,                0.66763,                0.85162,                 1.3682,                0.40465,                0.98678,               0.004357,               0.004357,               0.004357
                     59,                0.66012,                 1.0718,                0.32519,                0.88983,                0.93232,                0.93319,                0.96086,                0.71863,                0.93333,                 0.9132,                0.94556,                0.65772,                0.84736,                 1.3499,                 0.4125,                0.98254,               0.004258,               0.004258,               0.004258
                     60,                0.65091,                 1.0608,                0.31919,                 0.8856,                0.94157,                0.94163,                0.96122,                0.71169,                0.93226,                0.91401,                0.94577,                0.65199,                0.83149,                 1.3617,                0.40115,                0.97232,               0.004159,               0.004159,               0.004159
                     61,                0.64444,                 1.0497,                0.32104,                0.88507,                0.93716,                0.93377,                0.95493,                0.71218,                0.93091,                0.90091,                0.94224,                0.65438,                0.85032,                 1.3896,                0.40461,                0.98091,                0.00406,                0.00406,                0.00406
                     62,                0.64482,                 1.0482,                 0.3245,                 0.8822,                0.94987,                0.94674,                0.95932,                0.70203,                0.92786,                0.92518,                0.95063,                0.65028,                0.85788,                 1.4337,                 0.3975,                 1.0001,               0.003961,               0.003961,               0.003961
                     63,                0.63919,                 1.0428,                0.31036,                0.88165,                0.93757,                0.95351,                 0.9646,                0.70934,                0.93577,                0.90995,                0.94961,                0.66183,                0.85082,                  1.399,                0.38587,                  1.003,               0.003862,               0.003862,               0.003862
                     64,                0.63634,                 1.0294,                0.31011,                0.87798,                0.93807,                0.95273,                0.96537,                0.71744,                0.92343,                0.93236,                0.95492,                0.66249,                0.84575,                 1.3979,                0.38639,                0.99595,               0.003763,               0.003763,               0.003763
                     65,                0.63029,                  1.025,                0.31573,                0.88087,                 0.9393,                0.94699,                0.96059,                0.70997,                0.93194,                0.91731,                0.94991,                0.65864,                0.85484,                 1.4144,                0.38402,                0.99768,               0.003664,               0.003664,               0.003664
                     66,                0.62325,                 1.0296,                0.30889,                0.88089,                0.94711,                0.94186,                0.95642,                 0.7033,                0.93128,                0.92028,                0.94395,                0.66034,                0.85176,                 1.4384,                0.39268,                0.98485,               0.003565,               0.003565,               0.003565
                     67,                0.61673,                   1.02,                0.30245,                0.87682,                0.95847,                 0.9307,                0.96567,                 0.7108,                0.93743,                0.91851,                0.94963,                0.66649,                 0.8642,                 1.4142,                 0.3866,                 1.0008,               0.003466,               0.003466,               0.003466
                     68,                0.62034,                 1.0035,                0.29986,                0.87974,                0.93465,                0.95432,                0.96186,                 0.7079,                0.93404,                0.89986,                 0.9382,                0.66292,                0.85468,                 1.4129,                0.38346,                0.98368,               0.003367,               0.003367,               0.003367
                     69,                0.60808,                0.99101,                0.29765,                0.87534,                0.94293,                0.94362,                0.96221,                0.71017,                0.92541,                0.91181,                0.94301,                0.67092,                0.84645,                 1.3933,                0.37619,                0.97774,               0.003268,               0.003268,               0.003268
                     70,                0.60746,                0.98027,                 0.2958,                 0.8735,                0.95365,                 0.9405,                0.96176,                0.70997,                0.93654,                0.91586,                0.94723,                0.65845,                 0.8424,                 1.4094,                0.37308,                0.97945,               0.003169,               0.003169,               0.003169
                     71,                 0.6079,                0.99484,                 0.2953,                0.87423,                0.92813,                0.94715,                0.96093,                0.70901,                0.90873,                0.92723,                0.94796,                0.66551,                0.84947,                 1.4302,                0.39948,                0.98173,                0.00307,                0.00307,                0.00307
                     72,                0.59965,                0.98871,                0.29159,                0.87324,                0.94245,                0.94362,                0.96445,                0.71827,                0.93414,                0.93539,                0.95955,                0.66642,                0.84752,                 1.4589,                0.38061,                0.98507,               0.002971,               0.002971,               0.002971
                     73,                0.59478,                0.97743,                 0.2921,                 0.8698,                0.95261,                0.95166,                0.96086,                0.71144,                0.94194,                0.92007,                0.95059,                0.66555,                0.84614,                 1.4288,                0.37717,                0.99269,               0.002872,               0.002872,               0.002872
                     74,                0.59756,                0.98764,                0.29039,                0.87319,                 0.9557,                0.94695,                 0.9645,                0.71118,                0.93519,                0.92405,                0.95181,                0.65889,                0.83603,                 1.4686,                0.38722,                0.98191,               0.002773,               0.002773,               0.002773
                     75,                0.57877,                0.96241,                0.28493,                0.86719,                0.95314,                0.93312,                0.96051,                0.71466,                0.93182,                 0.9093,                0.94251,                0.66051,                0.83493,                 1.4502,                0.38692,                0.98572,               0.002674,               0.002674,               0.002674
